epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.201,1.52228,2.24182,1.61949,0.37396,0.5765,0.44183,0.27969,1.74045,2.55866,1.7322,0.000475417,0.000475417,0.000475417
2,272.458,1.67917,2.08553,1.79652,0.32117,0.38427,0.34487,0.24732,2.03145,2.78828,1.9001,0.000942328,0.000942328,0.000942328
3,414.799,1.61111,1.98554,1.72675,0.62902,0.54542,0.50587,0.3192,1.64994,2.19345,1.597,0.00139981,0.00139981,0.00139981
4,548.527,1.58618,1.90453,1.68611,0.54829,0.59211,0.53589,0.36862,1.59164,1.823,1.62768,0.00138656,0.00138656,0.00138656
5,689.055,1.52582,1.79541,1.64087,0.53052,0.59012,0.52401,0.33445,1.72889,2.01439,1.65049,0.00137241,0.00137241,0.00137241
6,835.946,1.50634,1.72617,1.62058,0.42891,0.46621,0.4178,0.30634,1.85185,2.30814,1.85201,0.00135826,0.00135826,0.00135826
7,978.841,1.47586,1.66421,1.59587,0.61553,0.63152,0.6155,0.41776,1.49033,1.62966,1.50392,0.00134412,0.00134412,0.00134412
8,1119.07,1.42148,1.57738,1.56764,0.58113,0.60193,0.58835,0.40245,1.46358,1.60108,1.48052,0.00132997,0.00132997,0.00132997
9,1247.63,1.3995,1.51356,1.52804,0.59693,0.61137,0.62973,0.42656,1.52837,1.61294,1.49801,0.00131582,0.00131582,0.00131582
10,1376.75,1.32213,1.41203,1.48777,0.68437,0.64543,0.6597,0.4241,1.55645,1.57433,1.55674,0.00130168,0.00130168,0.00130168
11,1504.69,1.34285,1.43988,1.5112,0.64877,0.65425,0.68629,0.46917,1.43241,1.44983,1.45645,0.00128753,0.00128753,0.00128753
12,1632.95,1.32451,1.40599,1.48675,0.69836,0.64154,0.66168,0.43692,1.4807,1.45435,1.49782,0.00127338,0.00127338,0.00127338
13,1760.83,1.29557,1.38043,1.46878,0.6942,0.61719,0.66172,0.43582,1.50662,1.52673,1.50568,0.00125923,0.00125923,0.00125923
14,1888.61,1.28633,1.30405,1.45759,0.63086,0.65743,0.66321,0.45055,1.40206,1.50185,1.42843,0.00124509,0.00124509,0.00124509
15,2016.42,1.28645,1.28949,1.45355,0.72784,0.62956,0.68242,0.45068,1.47438,1.34753,1.46367,0.00123094,0.00123094,0.00123094
16,2144.23,1.25573,1.24727,1.43561,0.67621,0.61719,0.65811,0.45743,1.37344,1.62961,1.42915,0.00121679,0.00121679,0.00121679
17,2271.92,1.25172,1.22959,1.43021,0.58287,0.67369,0.67062,0.44208,1.47488,1.5321,1.4794,0.00120265,0.00120265,0.00120265
18,2399.51,1.24088,1.24439,1.40513,0.60131,0.64644,0.6726,0.4682,1.34058,1.45388,1.37535,0.0011885,0.0011885,0.0011885
19,2527.48,1.24467,1.21544,1.43421,0.63071,0.631,0.69806,0.49226,1.36571,1.4982,1.40137,0.00117435,0.00117435,0.00117435
20,2655.55,1.19044,1.15453,1.38171,0.67404,0.59717,0.68882,0.46424,1.38217,1.3194,1.44498,0.00116021,0.00116021,0.00116021
21,2783.47,1.21501,1.18353,1.40476,0.71454,0.6318,0.67699,0.46737,1.43648,1.41055,1.47295,0.00114606,0.00114606,0.00114606
22,2911.27,1.19925,1.13554,1.39147,0.61866,0.69799,0.69387,0.4871,1.40034,1.35794,1.44319,0.00113191,0.00113191,0.00113191
23,3039.45,1.19055,1.12179,1.38318,0.71039,0.68514,0.70986,0.474,1.46503,1.20932,1.46951,0.00111776,0.00111776,0.00111776
24,3167.26,1.17376,1.13769,1.37039,0.68157,0.65988,0.71198,0.48516,1.39095,1.2725,1.43885,0.00110362,0.00110362,0.00110362
